Time,Value
0.0,0.0
0.1,0.04
0.2,0.08
0.3,0.12
0.4,0.16
0.5,0.2
0.6,0.24
0.7,0.28
0.8,0.32
0.9,0.36
1.0,0.4
1.1,0.44
1.2,0.48
1.3,0.52
1.4,0.56
1.5,0.6
1.6,0.64
1.7,0.68
1.8,0.72
1.9,0.76
2.0,0.8
2.1,0.84
2.2,0.88
2.3,0.92
2.4,0.96
2.5,1.0
2.6,0.96
2.7,0.92
2.8,0.88
2.9,0.84
3.0,0.8
3.1,0.76
3.2,0.72
3.3,0.6799999999999999
3.4,0.64
3.5,0.6
3.6,0.56
3.7,0.52
3.8,0.48
3.9,0.43999999999999995
4.0,0.4
4.1,0.36
4.2,0.31999999999999995
4.3,0.28
4.4,0.24
4.5,0.19999999999999996
4.6,0.16000000000000003
4.7,0.12
4.8,0.07999999999999996
4.9,0.040000000000000036
5.0,0.0
5.1,-0.04
5.2,-0.08
5.3,-0.12
5.4,-0.16
5.5,-0.2
5.6,-0.24
5.7,-0.28
5.8,-0.32
5.9,-0.36
6.0,-0.4
6.1,-0.44
6.2,-0.48
6.3,-0.52
6.4,-0.56
6.5,-0.6
6.6,-0.64
6.7,-0.68
6.8,-0.72
6.9,-0.76
7.0,-0.8
7.1,-0.84
7.2,-0.88
7.3,-0.92
7.4,-0.96
7.5,-1.0
7.6,-0.96
7.7,-0.92
7.8,-0.88
7.9,-0.84
8.0,-0.8
8.1,-0.76
8.2,-0.72
8.3,-0.6799999999999999
8.4,-0.64
8.5,-0.6
8.6,-0.56
8.7,-0.52
8.8,-0.48
8.9,-0.43999999999999995
9.0,-0.4
9.1,-0.36
9.2,-0.31999999999999995
9.3,-0.28
9.4,-0.24
9.5,-0.19999999999999996
9.6,-0.16000000000000003
9.7,-0.12
9.8,-0.07999999999999996
9.9,-0.040000000000000036
