Day,Toronto,Chicago,Miami,Denver,Seattle
1, 22C, 69.8F, 31, 24 C, 17
2,21.5C,68F,32,23C,N/A
3,23C,66.2F,31 C,25,N/A
4,24C, 71.6F, 30C, 27C, 19C
5,25 C,75.2F,29.0,28,20C
6,23.0 C,73.4F,N/A,26C,21
7,24C,71.6F,28C,25.0, 20C
8,25C,69.8F,29,24C,19
9, 26 C, 73.4F, 30.0C, 26, 18 C
10,25.0C,75.2F,31,27C,19 C
11,26C,77F,32 C,28,22.0C
12,27.0 C,80.6F,33,29 C,21C
13,26C,78.8F,34.0,31C,20
14,25 C,77F,33C,30,N/A
15,28C,75.2F,32,29C,18
16,27C,73.4F,31.0 C, 28 C, 17.0
17,26.0C,71.6F,32, 27,16C
18,25C,69.8F,35.0C,26 C,15
19, 24 C, 68F, 34, 25C, 14C
20,23.0C,66.2F,33 C,24,15
21,22C,64.4F,32,22.0 C,16C
22,21 C,57.2F,31.0,20C,17
23,20.0C,59F,30 C,19,16.0
24,19C,60.8F,29C,18C,14
25, 18 C, 59F, N/A, 18.0, 12C
26,17.0C,60.8F,29,17C,13
27,16C,62.6F,30.0C,19, N/A
28,18 C,64.4F,31,21.0 C,15C
29,19.0C,66.2F,32 C,22,16
30,20C,68F,33.0,23C,17.0
