Date,Theater,Movie,Tickets_Sold,Avg_Ticket_Price,Concession_Sales,Showtime
2023-06-01,Downtown,Cosmic Adventure,41,11.72,629.62,Matinee
2023-06-01,Downtown,Cosmic Adventure,74,13.82,1009.68,Evening
2023-06-01,Downtown,Cosmic Adventure,110,13.42,1749.81,Night
2023-06-01,Mall Plaza,Cosmic Adventure,63,9.67,1147.36,Matinee
2023-06-01,Mall Plaza,Cosmic Adventure,180,11.91,3615.03,Evening
2023-06-01,Mall Plaza,Cosmic Adventure,91,11.15,1730.49,Night
2023-06-01,Suburban,Cosmic Adventure,71,8.61,841.76,Matinee
2023-06-01,Suburban,Cosmic Adventure,178,11.01,1986.20,Evening
2023-06-01,Suburban,Cosmic Adventure,93,9.87,941.34,Night
2023-06-02,Downtown,Cosmic Adventure,60,11.20,874.43,Matinee
2023-06-02,Downtown,Cosmic Adventure,163,14.80,2293.98,Evening
2023-06-02,Downtown,Cosmic Adventure,127,13.53,1851.44,Night
2023-06-02,Mall Plaza,Cosmic Adventure,158,9.71,2771.94,Matinee
2023-06-02,Mall Plaza,Cosmic Adventure,231,12.45,4526.61,Evening
2023-06-02,Mall Plaza,Cosmic Adventure,176,11.12,3023.09,Night
2023-06-02,Suburban,Cosmic Adventure,137,8.73,1486.10,Matinee
2023-06-02,Suburban,Cosmic Adventure,252,10.61,2527.32,Evening
2023-06-02,Suburban,Cosmic Adventure,161,9.68,1812.35,Night
2023-06-03,Downtown,Cosmic Adventure,116,11.79,1591.32,Matinee
2023-06-03,Downtown,Cosmic Adventure,72,14.13,1088.58,Evening
2023-06-03,Downtown,Cosmic Adventure,111,12.93,1666.82,Night
2023-06-03,Mall Plaza,Cosmic Adventure,52,10.06,921.79,Matinee
2023-06-03,Mall Plaza,Cosmic Adventure,89,11.44,1538.81,Evening
2023-06-03,Mall Plaza,Cosmic Adventure,174,10.39,3046.69,Night
2023-06-03,Suburban,Cosmic Adventure,113,8.19,1360.35,Matinee
2023-06-03,Suburban,Cosmic Adventure,181,10.57,2089.77,Evening
2023-06-03,Suburban,Cosmic Adventure,215,9.70,2404.72,Night
2023-06-04,Downtown,Cosmic Adventure,106,11.02,1529.74,Matinee
2023-06-04,Downtown,Cosmic Adventure,63,14.28,909.24,Evening
2023-06-04,Downtown,Cosmic Adventure,98,12.75,1404.28,Night
2023-06-04,Mall Plaza,Cosmic Adventure,84,9.21,1518.51,Matinee
2023-06-04,Mall Plaza,Cosmic Adventure,199,12.00,3767.39,Evening
2023-06-04,Mall Plaza,Cosmic Adventure,92,10.89,1738.75,Night
2023-06-04,Suburban,Cosmic Adventure,171,7.98,1864.95,Matinee
2023-06-04,Suburban,Cosmic Adventure,106,10.97,1098.54,Evening
2023-06-04,Suburban,Cosmic Adventure,130,9.73,1435.27,Night
2023-06-05,Downtown,Love in Paris,48,11.40,699.13,Matinee
2023-06-05,Downtown,Love in Paris,73,14.25,918.42,Evening
2023-06-05,Downtown,Love in Paris,87,12.59,1235.80,Night
2023-06-05,Downtown,Cosmic Adventure,76,11.47,1011.03,Matinee
2023-06-05,Downtown,Cosmic Adventure,46,14.14,709.86,Evening
2023-06-05,Downtown,Cosmic Adventure,60,12.97,811.86,Night
2023-06-05,Mall Plaza,Cosmic Adventure,106,9.52,1784.79,Matinee
2023-06-05,Mall Plaza,Cosmic Adventure,176,12.34,3244.10,Evening
2023-06-05,Mall Plaza,Cosmic Adventure,130,10.37,2266.11,Night
2023-06-05,Mall Plaza,Love in Paris,58,9.35,1010.75,Matinee
2023-06-05,Mall Plaza,Love in Paris,92,12.43,1511.85,Evening
2023-06-05,Mall Plaza,Love in Paris,108,10.44,1991.81,Night
2023-06-05,Suburban,Cosmic Adventure,120,8.58,1279.10,Matinee
